product_observation_mode,measurement_order,measurement_combination,target,unknown_count,equation_count,matrix_rank,augmented_ranks,status
ideal_product_observation,1,terminal_urate_amount_only,local_uox_removal,10,2,2,3,NOT_IDENTIFIABLE
ideal_product_observation,1,terminal_urate_amount_only,inventory_change,10,2,2,3,NOT_IDENTIFIABLE
ideal_product_observation,1,terminal_urate_amount_only,total_local_influx,10,2,2,3,NOT_IDENTIFIABLE
ideal_product_observation,1,terminal_urate_amount_only,systemic_origin_uox_removal,10,2,2,3,NOT_IDENTIFIABLE
ideal_product_observation,1,terminal_urate_amount_only,integrated_active_capacity,10,2,2,3,NOT_IDENTIFIABLE
ideal_product_observation,1,terminal_urate_amount_only,local_ledger_closed,10,2,2,3;2;3;3;3;3;3;3,NOT_IDENTIFIABLE
ideal_product_observation,2,inventory_plus_qualified_product_equivalent,local_uox_removal,10,4,4,4,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
ideal_product_observation,2,inventory_plus_qualified_product_equivalent,inventory_change,10,4,4,4,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
ideal_product_observation,2,inventory_plus_qualified_product_equivalent,total_local_influx,10,4,4,5,NOT_IDENTIFIABLE
ideal_product_observation,2,inventory_plus_qualified_product_equivalent,systemic_origin_uox_removal,10,4,4,5,NOT_IDENTIFIABLE
ideal_product_observation,2,inventory_plus_qualified_product_equivalent,integrated_active_capacity,10,4,4,5,NOT_IDENTIFIABLE
ideal_product_observation,2,inventory_plus_qualified_product_equivalent,local_ledger_closed,10,4,4,4;4;5;5;4;5;5;5,NOT_IDENTIFIABLE
ideal_product_observation,3,add_calibrated_reaction_site_capacity,local_uox_removal,10,5,5,5,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
ideal_product_observation,3,add_calibrated_reaction_site_capacity,inventory_change,10,5,5,5,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
ideal_product_observation,3,add_calibrated_reaction_site_capacity,total_local_influx,10,5,5,6,NOT_IDENTIFIABLE
ideal_product_observation,3,add_calibrated_reaction_site_capacity,systemic_origin_uox_removal,10,5,5,6,NOT_IDENTIFIABLE
ideal_product_observation,3,add_calibrated_reaction_site_capacity,integrated_active_capacity,10,5,5,5,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
ideal_product_observation,3,add_calibrated_reaction_site_capacity,local_ledger_closed,10,5,5,5;5;6;6;5;6;6;6,NOT_IDENTIFIABLE
ideal_product_observation,4,add_source_and_boundary_fate,local_uox_removal,10,10,10,10,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
ideal_product_observation,4,add_source_and_boundary_fate,inventory_change,10,10,10,10,STRUCTURALLY_IDENTIFIABLE_UNDER_IDEAL_OBSERVATION
